FIPS,Date,MMWR_week,COUNTYNAME,state,STATE0,LNG,LAT,Region,Region_N,Completeness_pct,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,county_population,health_service_area_population,covid_cases_per_100k,Percent.of.adults.completing.some.college.or.associate.s.degree..2016.20,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2015.19,Unemployment_rate_2021,Median_Household_Income_2020,Cluster_member_18,Cluster_member_65
1001,12/28/2022,52,Autauga,Alabama,AL,-86.6428,32.5349,2,South,92.6,52.4,23191,54.1,6613,74.1,55869,386117,100.23,29,28.3,2.8,67565,1,1
1003,12/28/2022,52,Baldwin,Alabama,AL,-87.7171,30.7278,2,South,92.6,60.6,110981,63.2,41385,88.4,223234,697125,85.56,31.4,31.9,3,71135,2,1
1005,12/28/2022,52,Barbour,Alabama,AL,-85.3932,31.8696,2,South,92.6,53.5,10873,55.5,3619,74.4,24686,277857,32.41,27.4,11.6,5.7,38866,1,1
1007,12/28/2022,52,Bibb,Alabama,AL,-87.1264,32.9986,2,South,92.6,41,7603,42.6,2369,63.5,22394,1237724,102.71,24.5,11.3,3.5,50907,1,1
1009,12/28/2022,52,Blount,Alabama,AL,-86.5674,33.9809,2,South,92.6,38.1,17904,40.2,5987,55.4,57826,1237724,141.8,34.5,13.3,2.4,55203,1,2
1011,12/28/2022,52,Bullock,Alabama,AL,-85.7161,32.1005,2,South,92.6,64,5201,65.1,1439,84.1,10101,386117,89.1,23.3,10.3,4,33124,2,1
1013,12/28/2022,52,Butler,Alabama,AL,-86.6803,31.7524,2,South,92.6,46.9,7401,48.8,2736,67.6,19448,19448,97.7,23.9,16,5.3,42268,1,1
1015,12/28/2022,52,Calhoun,Alabama,AL,-85.8261,33.7714,2,South,92.6,56,52231,58.6,17044,83,113605,278299,631.13,31.8,18.9,4.1,50259,1,1
1017,12/28/2022,52,Chambers,Alabama,AL,-85.392,32.9144,2,South,92.6,37.8,10368,39.4,3537,52.7,33254,307497,66.16,31,14.4,3.7,39318,1,2
1019,12/28/2022,52,Cherokee,Alabama,AL,-85.6038,34.176,2,South,92.6,36.4,8165,38.4,3462,56.2,26196,296751,87.8,30.7,12.9,2.5,50388,1,2
1021,12/28/2022,52,Chilton,Alabama,AL,-86.7188,32.8479,2,South,92.6,43.7,15496,45.8,5149,67.8,44428,1237724,67.52,24.8,13.6,2.9,52693,1,1
1023,12/28/2022,52,Choctaw,Alabama,AL,-88.2628,32.0192,2,South,92.6,77.1,8201,81.1,3040,95,12589,174560,0,33.1,13.5,4.4,41649,3,1
1025,12/28/2022,52,Clarke,Alabama,AL,-87.8309,31.6709,2,South,92.6,59.8,11588,62.3,3944,81.4,23622,697125,50.8,27.3,13.8,6,44178,1,1
1027,12/28/2022,52,Clay,Alabama,AL,-85.8605,33.2691,2,South,92.6,49.7,5482,51.9,1991,71.5,13235,103876,68,29.5,11.8,2.7,44763,1,1
1029,12/28/2022,52,Cleburne,Alabama,AL,-85.5188,33.6745,2,South,92.6,34.3,4215,36.5,1606,53.4,14910,278299,67.07,27.8,16,2.6,50134,1,2
1031,12/28/2022,52,Coffee,Alabama,AL,-85.9882,31.4026,2,South,92.6,56.7,23690,59.3,7384,81.8,52342,277857,59.23,36.4,21.7,2.8,54203,1,1
1033,12/28/2022,52,Colbert,Alabama,AL,-87.8049,34.7004,2,South,92.6,56.6,25616,58.6,8898,80.4,55241,202961,68.79,31.3,17.4,4,54185,1,1
1035,12/28/2022,52,Conecuh,Alabama,AL,-86.9936,31.4293,2,South,92.6,51.5,5156,53.7,1921,67.8,12067,836138,99.44,24.4,13.8,4.8,34664,1,1
1037,12/28/2022,52,Coosa,Alabama,AL,-86.2476,32.9362,2,South,92.6,46.5,4296,48.2,1725,67.2,10663,103876,131.3,29.6,11.6,3.1,46509,1,1
1039,12/28/2022,52,Covington,Alabama,AL,-86.4512,31.2485,2,South,92.6,45.3,13792,47.7,5378,67.9,37049,386117,615.4,32.5,15.6,3,43544,1,1
1041,12/28/2022,52,Crenshaw,Alabama,AL,-86.3136,31.7315,2,South,92.6,41.2,4625,43.5,1756,65.7,13772,386117,145.22,22.1,18.5,3.3,45927,1,1
1043,12/28/2022,52,Cullman,Alabama,AL,-86.8676,34.132,2,South,92.6,45.6,31329,48.2,11342,72.1,83768,1237724,465.57,34.6,15.4,2.4,51844,1,1
1045,12/28/2022,52,Dale,Alabama,AL,-85.611,31.4318,2,South,92.6,57.6,22854,60.2,6473,76.1,49172,277857,107.78,36.2,18.2,3.1,48493,1,1
1047,12/28/2022,52,Dallas,Alabama,AL,-87.1065,32.3258,2,South,92.6,54.8,16271,57,5333,76,37196,75355,45.7,31.1,16.6,7.4,37679,1,1
1049,12/28/2022,52,DeKalb,Alabama,AL,-85.8041,34.4598,2,South,92.6,40.9,23590,43.4,7889,62.6,71513,296751,32.16,31.3,14,2.5,47156,1,1
1051,12/28/2022,52,Elmore,Alabama,AL,-86.1492,32.5966,2,South,92.6,55.6,36736,58.2,11345,89.6,81209,304186,109.59,29.7,25.8,2.7,62524,1,1
1053,12/28/2022,52,Escambia,Alabama,AL,-87.1616,31.1262,2,South,92.6,44,13207,46.5,5039,75.3,36633,836138,40.95,24.8,12.5,4.1,41212,1,1
1055,12/28/2022,52,Etowah,Alabama,AL,-86.0348,34.0453,2,South,92.6,48.6,40943,50.9,14420,72.8,102268,296751,106.58,34.2,17.7,4.1,47872,1,1
1057,12/28/2022,52,Fayette,Alabama,AL,-87.7388,33.7212,2,South,92.6,41.5,5614,43.6,2209,62.3,16302,46011,73.61,29.3,12.3,3.1,45937,1,2
1059,12/28/2022,52,Franklin,Alabama,AL,-87.8438,34.4417,2,South,92.6,53.5,13388,56.8,4355,81,31362,202961,102.03,24.6,15,2.5,40448,1,1
1061,12/28/2022,52,Geneva,Alabama,AL,-85.839,31.095,2,South,92.6,47.5,10393,50.7,4069,75.1,26271,277857,45.68,32.6,13.1,2.8,39882,1,1
1063,12/28/2022,52,Greene,Alabama,AL,-87.9522,32.8531,2,South,92.6,60.2,3947,62.2,1480,78.3,8111,252047,36.99,30.9,10.1,6.9,33609,1,1
1065,12/28/2022,52,Hale,Alabama,AL,-87.6291,32.7627,2,South,92.6,73,8441,74.8,2520,87.3,14651,252047,54.6,27.9,15.6,5.7,41836,3,1
1067,12/28/2022,52,Henry,Alabama,AL,-85.2414,31.5147,2,South,92.6,52.9,7649,55.8,3014,74.8,17205,277857,87.18,29.3,18.9,3.2,51126,1,1
1069,12/28/2022,52,Houston,Alabama,AL,-85.3025,31.1532,2,South,92.6,51.7,44280,54.3,14889,77.6,105882,277857,68.94,33.2,22.1,3.4,54391,1,1
1071,12/28/2022,52,Jackson,Alabama,AL,-85.9993,34.7794,2,South,92.6,58.1,25045,61.2,9360,88.4,51626,557816,102.66,28.2,16.2,2.9,46606,1,1
1073,12/28/2022,52,Jefferson,Alabama,AL,-86.8965,33.5543,2,South,92.6,69.8,364017,71.6,101000,94.1,658573,1237724,98.55,30.1,34.1,3.6,57802,2,1
1075,12/28/2022,52,Lamar,Alabama,AL,-88.0969,33.7792,2,South,92.6,52.2,6024,55.5,2463,80.5,13805,102133,181.09,30.6,11.3,3,40204,1,1
1077,12/28/2022,52,Lauderdale,Alabama,AL,-87.6543,34.9015,2,South,92.6,54.5,42522,56.9,15206,80,92729,202961,72.25,28.7,25.1,3.2,52293,1,1
1079,12/28/2022,52,Lawrence,Alabama,AL,-87.311,34.522,2,South,92.6,55.5,15169,58.7,5365,85.3,32924,152603,85.04,25.3,15.8,2.9,48924,1,1
1081,12/28/2022,52,Lee,Alabama,AL,-85.3556,32.6012,2,South,92.6,47.3,62922,48.5,14110,69.1,164542,304186,69.89,31.6,36.4,2.8,58963,1,1
1083,12/28/2022,52,Limestone,Alabama,AL,-86.9813,34.8101,2,South,92.6,46.2,37175,48.4,10933,72.5,98915,557816,116.26,31,24.9,2.5,70850,1,1
1085,12/28/2022,52,Lowndes,Alabama,AL,-86.6501,32.1548,2,South,92.6,61.7,4798,63.2,1561,81.3,9726,386117,82.25,26.3,14.7,9.2,37499,2,1
1087,12/28/2022,52,Macon,Alabama,AL,-85.6926,32.386,2,South,92.6,55.9,8467,56.6,2930,77.4,18068,304186,60.88,32.5,20.5,6,37736,1,1
1089,12/28/2022,52,Madison,Alabama,AL,-86.5502,34.7631,2,South,92.6,73.4,218828,74.9,54401,95,372909,557816,130.33,28.4,43.8,2.7,67810,2,1
1091,12/28/2022,52,Marengo,Alabama,AL,-87.7895,32.2476,2,South,92.6,64.3,9772,66.9,3177,84.7,18863,75355,68.92,30.1,17.1,4.2,43198,3,1
1093,12/28/2022,52,Marion,Alabama,AL,-87.8871,34.1366,2,South,92.6,42.9,10688,45.4,4142,64.8,29709,46011,124.54,33.3,13.3,2.8,44333,1,1
1095,12/28/2022,52,Marshall,Alabama,AL,-86.3066,34.3669,2,South,92.6,55.9,42765,59,13963,83.4,96774,296751,109.53,31.6,20.7,2.4,51417,1,1
1097,12/28/2022,52,Mobile,Alabama,AL,-88.2018,30.7943,2,South,92.6,60.3,198365,62.6,57128,83.1,413210,697125,45.5,29.4,24.4,4.7,50871,2,1
1099,12/28/2022,52,Monroe,Alabama,AL,-87.3658,31.5706,2,South,92.6,50.9,8717,53.3,2972,67.8,20733,697125,81.99,23.9,13.5,5.6,38812,1,1
1101,12/28/2022,52,Montgomery,Alabama,AL,-86.2076,32.2202,2,South,92.6,63.2,112701,64.9,30519,86.5,226486,386117,104.2,29.2,33.7,4.9,49607,2,1
1103,12/28/2022,52,Morgan,Alabama,AL,-86.8529,34.4535,2,South,92.6,52,50582,54.8,16849,79,119679,152603,159.59,31,21.3,2.6,55688,1,1
1105,12/28/2022,52,Perry,Alabama,AL,-87.2942,32.6385,2,South,92.6,57.2,4124,58.4,1341,74.7,8923,75355,212.93,24.4,17.8,8.3,33712,1,1
1107,12/28/2022,52,Pickens,Alabama,AL,-88.0887,33.2809,2,South,92.6,59,9842,61.3,3028,77.9,19930,252047,145.51,29.4,14.4,4.1,41870,1,1
1109,12/28/2022,52,Pike,Alabama,AL,-85.9409,31.8024,2,South,92.6,48.8,13289,49.6,4196,83.4,33114,386117,45.3,24.3,29.6,3.2,43141,1,1
1111,12/28/2022,52,Randolph,Alabama,AL,-85.4591,33.2938,2,South,92.6,39.3,7513,41.9,3056,64.5,22722,307497,66.02,29.4,17.1,2.7,46679,1,1
1113,12/28/2022,52,Russell,Alabama,AL,-85.1849,32.2884,2,South,92.6,51.1,22911,52.1,6869,80,57961,328912,62.11,38.1,17.5,3.1,40821,1,1
1115,12/28/2022,52,St. Clair,Alabama,AL,-86.3147,33.7157,2,South,92.6,46.5,33856,48.8,10947,72.6,89512,1237724,86.02,32.8,18.1,2.6,61973,1,1
1117,12/28/2022,52,Shelby,Alabama,AL,-86.6607,33.2643,2,South,92.6,42.9,73787,44.1,18755,54,217702,1237724,135.97,29.6,44.2,2.1,88444,1,2
1119,12/28/2022,52,Sumter,Alabama,AL,-88.1988,32.591,2,South,92.6,60.4,6162,61.2,2041,87.8,12427,174560,72.42,32.3,18.4,4.5,32275,1,1
1121,12/28/2022,52,Talladega,Alabama,AL,-86.1659,33.38,2,South,92.6,43.1,28606,45.2,9829,66.6,79978,103876,91.28,33.1,15.3,4.1,44802,1,1
1123,12/28/2022,52,Tallapoosa,Alabama,AL,-85.7975,32.8624,2,South,92.6,45.4,15224,47.4,6143,68.4,40367,304186,116.43,29.5,18.8,4,46654,1,1
1125,12/28/2022,52,Tuscaloosa,Alabama,AL,-87.525,33.2896,2,South,92.6,51.5,87193,52.7,22944,79.7,209355,252047,113.68,29.4,31.1,3.6,56610,1,1
1127,12/28/2022,52,Walker,Alabama,AL,-87.2973,33.8034,2,South,92.6,56.5,29381,59.5,10584,85.3,63521,1237724,133.81,33.2,13.4,3.6,46519,1,1
1129,12/28/2022,52,Washington,Alabama,AL,-88.2071,31.4077,2,South,92.6,54.2,7336,57.7,2666,82.8,16326,697125,79.63,27.3,14.4,4.7,36346,1,1
1131,12/28/2022,52,Wilcox,Alabama,AL,-87.3082,31.9892,2,South,92.6,63.9,5249,66,1782,84.7,10373,75355,96.4,27.2,11.7,11,31909,3,1
1133,12/28/2022,52,Winston,Alabama,AL,-87.3737,34.1492,2,South,92.6,25.7,5145,27.3,2107,40.8,23629,202961,245.46,26.5,13.3,2.8,46453,1,2
4001,12/28/2022,52,Apache,Arizona,AZ,-109.4888,35.3957,4,West,98.1,95,61506,95,14212,95,71887,143254,153.02,37.7,12.5,9.1,36319,2,3
4003,12/28/2022,52,Cochise,Arizona,AZ,-109.7511,31.8796,4,West,98.1,78.2,77283,78.1,24535,84.3,125922,1268034,50.83,39.2,25.6,4.8,51171,2,3
4005,12/28/2022,52,Coconino,Arizona,AZ,-111.7705,35.8387,4,West,98.1,90.8,103237,90,23408,95,143476,5380796,79.46,31.6,37.6,6,57146,2,3
4007,12/28/2022,52,Gila,Arizona,AZ,-110.8117,33.7997,4,West,98.1,69.7,30791,71,12282,77.4,54018,5380796,70.35,39.4,19.2,5,49280,2,3
4009,12/28/2022,52,Graham,Arizona,AZ,-109.8874,32.9327,4,West,98.1,78.6,22943,80.5,5585,95,38837,1268034,48.92,40.1,14.8,4.1,55419,2,3
4011,12/28/2022,52,Greenlee,Arizona,AZ,-109.2401,33.2153,4,West,98.1,53.8,3917,56.5,950,73.2,9498,1268034,52.64,37.9,16.8,4,67530,1,3
4012,12/28/2022,52,La Paz,Arizona,AZ,-113.9813,33.7292,4,West,98.1,54.6,9549,54.2,4771,56.9,21108,234895,18.95,35.6,11.8,5.1,41637,1,2
4013,12/28/2022,52,Maricopa,Arizona,AZ,-112.4912,33.3488,4,West,98.1,69.3,2431498,70.8,618332,88.8,4485414,5380796,35.36,32.6,33.4,4.5,71799,2,3
4015,12/28/2022,52,Mohave,Arizona,AZ,-113.7582,35.7044,4,West,98.1,49.5,90969,51.4,44954,68.2,212181,212181,41,38.7,13.4,5.5,46678,1,3
4017,12/28/2022,52,Navajo,Arizona,AZ,-110.3214,35.3996,4,West,98.1,94.8,75751,92.6,21577,95,110924,349406,83.84,38.5,16.1,6.5,46698,2,3
4019,12/28/2022,52,Pima,Arizona,AZ,-111.7899,32.0974,4,West,98.1,81.8,685848,82.4,212156,95,1047279,1268034,75.72,33.9,33.6,5,56551,2,3
4021,12/28/2022,52,Pinal,Arizona,AZ,-111.3447,32.9043,4,West,98.1,65.1,240098,66.6,76708,79.4,462789,5380796,52.72,35.8,20.9,4.7,66992,2,3
4023,12/28/2022,52,Santa Cruz,Arizona,AZ,-110.8466,31.526,4,West,98.1,95,43900,95,9896,95,46498,1268034,47.31,29.4,20.9,8.7,44402,2,3
4025,12/28/2022,52,Yavapai,Arizona,AZ,-112.5538,34.5999,4,West,98.1,56.8,115998,58.7,58613,76.7,235099,5380796,67.21,39.4,26.3,4.1,58860,1,3
4027,12/28/2022,52,Yuma,Arizona,AZ,-113.9056,32.7694,4,West,98.1,85.6,136987,85.5,33632,81.4,213787,234895,30.4,32.5,15.4,12.9,54278,2,3
